fpl_name,fpl_id,understat_name,understat_id
Shkodran Mustafi,1,Shkodran Mustafi,1699.0
Héctor Bellerín,2,Héctor Bellerín,492.0
Sead Kolasinac,3,Sead Kolasinac,342.0
Ainsley Maitland-Niles,4,Ainsley Maitland-Niles,1750.0
Sokratis Papastathopoulos,5,Sokratis,371.0
Nacho Monreal,6,Nacho Monreal,495.0
Laurent Koscielny,7,,
Konstantinos Mavropanos,8,,
Carl Jenkinson,9,,
Rob Holding,10,Rob Holding,1749.0
Pierre-Emerick Aubameyang,11,Pierre-Emerick Aubameyang,318.0
Alexandre Lacazette,12,Alexandre Lacazette,3277.0
Edward Nketiah,13,Eddie Nketiah,6482.0
Bernd Leno,14,Bernd Leno,181.0
Mesut Özil,15,Mesut Özil,499.0
Henrikh Mkhitaryan,16,Henrikh Mkhitaryan,317.0
Granit Xhaka,18,Granit Xhaka,204.0
Lucas Torreira,19,Lucas Torreira,1227.0
Mohamed Elneny,20,,
Matteo Guendouzi,21,Matteo Guendouzi,5759.0
David Luiz Moreira Marinho,106,David Luiz,1676.0
Emiliano Martínez,427,Emiliano Martinez,4401.0
Calum Chambers,467,Calum Chambers,508.0
Daniel Ceballos Fernández,469,Dani Ceballos,2446
Cédric Soares,486,Cédric Soares,847.0
Nicolas Pépé,488,Nicolas Pepe,5656.0
Reiss Nelson,489,Reiss Nelson,6492.0
Joseph Willock,490,Joe Willock,6630.0
Gabriel Teodoro Martinelli Silva,504,Gabriel Martinelli,7752
Kieran Tierney,515,Kieran Tierney,8089.0
Bukayo Saka,541,Bukayo Saka,7322.0
Emile Smith Rowe,576,Emile Smith-Rowe,7230.0
Tyreece John-Jules,585,,
Pablo Marí,617,Pablo Marí,8380.0
Zech Medley,636,,
Matt Macey,646,,
Matthew Smith,647,,
Ahmed El Mohamady,22,Ahmed Elmohamady,1685.0
James Chester,23,,
Neil Taylor,24,Neil Taylor,710.0
Kortney Hause,25,Kortney Hause,6859.0
Jonathan Kodjia,26,Jonathan Kodjia,7725.0
Ørjan Nyland,27,Ørjan Nyland,250.0
Conor Hourihane,28,Conor Hourihane,7721.0
Jack Grealish,29,Jack Grealish,675.0
Anwar El Ghazi,30,Anwar El Ghazi,5612.0
John McGinn,31,John McGinn,7723.0
Andre Green,32,,
Birkir Bjarnason,33,,
Keinan Davis,34,Keinan Davis,1053.0
Henri Lansbury,35,Henri Lansbury,7727.0
José Ignacio Peleteiro Romallo,36,Jota,2132
Tom Heaton,94,Tom Heaton,1651.0
Daniel Drinkwater,120,Daniel Drinkwater,752.0
Matt Targett,309,Matt Targett,884.0
Wesley Moraes,428,Wesley,7724.0
Jed Steer,429,Jed Steer,4475.0
Tyrone Mings,445,Tyrone Mings,1024.0
Ezri Konsa Ngoyo,452,Ezri Konsa Ngoyo,7726.0
Bjorn Engels,455,Björn Engels,7152.0
Frédéric Guilbert,458,Frederic Guilbert,3253.0
Mahmoud Ahmed Ibrahim Hassan,465,Trézéguet,7722
Douglas Luiz Soares de Paulo,470,Douglas Luiz,6122.0
Lovre Kalinic,474,,
Marvelous Nakamba,491,Marvelous Nakamba,8040.0
Indiana Vassilev,600,Indiana Vassilev,8254.0
José Reina,603,José Reina,1374.0
Mbwana Samatta,613,Mbwana Samatta,8287.0
Borja González Tomás,623,Borja Bastón,1701.0
Kaine Hayden,659,,
Steve Cook,58,Steve Cook,458.0
Nathan Aké,59,Nathan Aké,579.0
Charlie Daniels,60,Charlie Daniels,459.0
Chris Mepham,61,Chris Mepham,7384.0
Simon Francis,62,Simon Francis,456.0
Adam Smith,63,Adam Smith,825.0
Lloyd Kelly,64,Lloyd Kelly,8090.0
