fpl_name,fpl_id,understat_name,understat_id
Granit Xhaka,3,Granit Xhaka,204.0
Mohamed Elneny,4,Mohamed Elneny,496.0
Rob Holding,5,Rob Holding,1749.0
Thomas Partey,6,Thomas Partey,2328.0
Martin Ødegaard,7,Martin Odegaard,2517.0
Kieran Tierney,8,Kieran Tierney,8089.0
Nicolas Pépé,9,,
Benjamin White,10,Ben White,7298.0
Eddie Nketiah,11,Eddie Nketiah,6482.0
Emile Smith Rowe,12,Emile Smith-Rowe,7230.0
Bukayo Saka,13,Bukayo Saka,7322.0
Takehiro Tomiyasu,14,Takehiro Tomiyasu,7931.0
Aaron Ramsdale,15,Aaron Ramsdale,5603.0
Gabriel dos Santos Magalhães,16,Gabriel,5613.0
Nuno Varela Tavares,17,,
Gabriel Martinelli Silva,19,Gabriel Martinelli,7752.0
Pablo Marí Villar,20,,
Lucas Torreira di Pascua,22,,
Reiss Nelson,23,Reiss Nelson,6492.0
Matt Turner,24,,
Fábio Ferreira Vieira,25,Fábio Vieira,11007.0
William Saliba,26,William Saliba,6888.0
Marcus Oliveira Alencar,27,Marquinhos,11035
Gabriel Fernando de Jesus,28,Gabriel Jesus,5543.0
Leandro Trossard,111,Leandro Trossard,7698.0
Jorge Luiz Frello Filho,130,Jorginho,1389
Oleksandr Zinchenko,313,Oleksandr Zinchenko,2958.0
Matthew Smith,607,,
Ethan Nwaneri,630,Ethan Nwaneri,11132.0
Lino Sousa,631,,
Karl Hein,655,,
Amario Cozier-Duberry,668,,
Nathan Butler-Oyedeji,685,,
Jakub Kiwior,710,Jakub Kiwior,10012.0
Reuell Walters,751,,
Mauro Bandeira,767,,
Philippe Coutinho Correia,29,Philippe Coutinho,488.0
Emiliano Martínez Romero,31,Emiliano Martinez,4401.0
Calum Chambers,32,Calum Chambers,508.0
Lucas Digne,33,Lucas Digne,1823.0
Bertrand Traoré,34,Bertrand Traoré,695.0
Robin Olsen,35,Robin Olsen,6962.0
Morgan Sanson,36,Morgan Sanson,3696.0
John McGinn,37,John McGinn,7723.0
Kortney Hause,38,,
Tyrone Mings,39,Tyrone Mings,1024.0
Ollie Watkins,40,Ollie Watkins,8865.0
Marvelous Nakamba,41,,
Emiliano Buendía Stati,42,Emiliano Buendía,2203.0
Matty Cash,43,Matthew Cash,8864.0
Ezri Konsa Ngoyo,44,Ezri Konsa Ngoyo,7726.0
Leon Bailey,45,Leon Bailey,5221.0
Douglas Luiz Soares de Paulo,46,Douglas Luiz,6122.0
Jacob Ramsey,47,Jacob Ramsey,8941.0
Tim Iroegbunam,49,,
